;임무 번호,"타입(0=일일, 1=스페셜, 2=명예, 3=주간 / 10=PC방일일, 11=PC방스페, 12=PC명예, 13=PC방 주간)","NPC 식별자(1=이블린, 2=펠릭스, 3=더글라스 제이콥, 4=빅토르, 5=짐, 6=첸, 7=로웬 )",임무 제목,임무 제목 인수,NPC 내레이션,NPC 내레이션 인수,선행 임무,임무 시작 시각,임무 종료 시각,"Arguments(XML형식, 서버에서 사용)","Variables(XML형식, 서버에서 사용)",조건0 설명,조건0 인수,조건0 목표치,조건1 설명,조건1 인수,조건1 목표치,조건2 설명,조건2 인수,조건2 목표치,조건3 설명,조건3 인수,조건3 목표치,조건4 설명,조건4 인수,조건4 목표치,조건5 설명,조건5 인수,조건5 목표치,조건6 설명,조건6 인수,조건6 목표치,조건7 설명,조건7 인수,조건7 목표치,조건8 설명,조건8 인수,조건8 목표치,조건9 설명,조건9 인수,조건9 목표치,조건10 설명,조건10 인수,조건10 목표치,조건11 설명,조건11 인수,조건11 목표치,"보상0 리소스 네임(0=4001, 1=4002, 2=4003, 3=4004, 4=4005~4010, 5=4011, 6=4012, 7=4013, 8=4014, 9=4015, 10=4016, 11=4017, 12=4018)",보상0 연결 reward ID,보상1 리소스 네임,보상1 연결 Reward ID,보상2 리소스 네임,보상2 연결 Reward ID,보상3 리소스 네임,보상3 연결 Reward ID,Title ID,"HonorQuestType(1=시나리오, 2=펀, 3=좀비, 4=킬러X, 5=클랜, 6=작업병, 7=기록병)",조건지급식 여부(1=조건지급)
1,0,1,#CSO_Quest_Daily001_Name,,#CSO_Quest_Daily001_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily001_Cond1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
2,0,5,#CSO_Quest_Daily002_Name,,#CSO_Quest_Daily002_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily002_Cond1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
3,0,4,#CSO_Quest_Daily003_Name,,#CSO_Quest_Daily003_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><val init='0' /></vars>,#CSO_Quest_Daily003_Cond1_Arg1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
4,0,2,#CSO_Quest_Daily004_Name,,#CSO_Quest_Daily004_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily004_Cond1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
7,0,4,#CSO_Quest_Daily007_Name,,#CSO_Quest_Daily007_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily007_Cond1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
8,0,5,#CSO_Quest_Daily008_Name,,#CSO_Quest_Daily008_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><knife init='0' /><pistol init='0' /></vars>,#CSO_Quest_Daily008_Cond1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
9,0,4,#CSO_Quest_Daily009_Name,,#CSO_Quest_Daily009_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><val init='0' /></vars>,#CSO_Quest_Daily009_Cond1_Arg1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
10,0,0,#CSO_Quest_Daily010_Name,,#CSO_Quest_Daily010_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><flag init='0' /></vars>,#CSO_Quest_Daily010_Cond1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
12,0,3,#CSO_Quest_Daily012_Name,,#CSO_Quest_Daily012_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily012_Cond1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
13,0,5,#CSO_Quest_Daily013_Name,,#CSO_Quest_Daily013_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily013_Cond1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
16,0,2,#CSO_Quest_Daily016_Name,,#CSO_Quest_Daily016_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily016_Cond1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
18,0,4,#CSO_Quest_Daily018_Name,,#CSO_Quest_Daily018_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily018_Cond1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
20,0,2,#CSO_Quest_Daily020_Name,,#CSO_Quest_Daily020_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily020_Cond1,,3,#CSO_Quest_Daily020_Cond2,,3,#CSO_Quest_Daily020_Cond3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
26,0,0,#CSO_Quest_Daily026_Name,,#CSO_Quest_Daily026_Desc,,0,,,<args><memberLimit value='2' testvalue='1'/></args>,,#CSO_Quest_Daily026_Cond1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
27,0,7,#CSO_Quest_Daily027_Name,,#CSO_Quest_Daily027_Desc,,0,,,<args><memberLimit value='2' testvalue='1'/></args>,,#CSO_Quest_Daily027_Cond1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
28,0,0,#CSO_Quest_Daily028_Name,,#CSO_Quest_Daily028_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily028_Cond1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
29,0,8,#CSO_Quest_Daily029_Name,,#CSO_Quest_Daily029_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily029_Cond1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
