relation_product_id,"reference item id
상품 정보를 참조할 아이템 아이디.","team
",inven_sortingindex,name,level,sortorder,"ad type
1=new
2=hot
3=new+hot
4=event
5=event+new
6=event+hot
7=event+hot+new",ImageName,"main product(가격순서)
0=첫번째
1
2
3","BuyerType
0=개인
1=클랜
공백=값을 사용 안함 (값이 있을경우 최우선적용,item.csv에 없는 아이템일경우  값기입필수)",EnhancedLv,FabExtraItemID(제조비법있는 상품일경우),shop type
40005,588,,,,,,,,0,0,,,
40004,,0,,ZombieEnoWeapon,0,,,,0,0,,,
40003,160,,,,,,,,0,0,,,
40002,,0,,DefeatInvalidation140000,0,,,,0,0,,,
40001,,0,,DefeatInvalidation40000,0,,,,0,0,,,
40000,,0,,DefeatInvalidation14000,0,,,,0,0,,,
30177,893,,,,,2005,3,,0,,,,
30176,849,,,,,2004,3,,0,,,,
30175,792,,,,,2003,3,,0,,,,
30174,776,,,,,,3,,0,,,,
30173,8109,,,,,2001,3,,,,,,
30172,8103,,,,,1013,3,,,,,,
30171,8100,,,,,1003,3,,,,,,
30170,8007,,,,,1016,3,,,,,,
30169,8091,,,,,,,,0,0,,,
30168,8086,,,,,,3,,0,0,,,
30167,8076,,,,,1015,3,,,,,,
30166,8077,,,,,1007,3,,,,,,
30165,8008,,,,,1014,3,,,,,,
30164,8045,,,,,1006,3,,,,,,
30163,8041,,,,,1004,3,,0,0,,,
30162,971,,,,,1010,3,,0,0,,,
30161,970,,,,,1011,3,,0,0,,,
30160,981,,,,,1005,3,,0,0,,,
30159,969,,,,,,3,,0,0,,,
30158,962,,,,,,,,0,0,,,
30157,918,,,,,1002,3,,0,0,,,
30156,895,,,,,,,,0,0,,,
30155,842,,,,,,,,0,0,,,
30154,848,,,,,,,,0,0,,,
30153,923,,,,,,,,0,0,,,
30151,833,,,,,,,,0,0,,,
30150,816,,,,,,3,,0,0,,,
30149,787,,,,,,,,0,0,,,
30148,804,,,,,,,,0,0,,,
30147,867,,,,,,,,0,0,,,
30146,858,,,,,,,,0,0,,,
30145,683,,,,,,,,0,0,,,
30144,726,,,,,,,,0,0,,,
30143,682,,,,,,,,0,0,,,
30142,697,,,,,,,,0,0,,,
30141,725,,,,,,,,0,0,,,
30140,698,,,,,,,,0,0,,,
30139,768,,,,,,,,0,0,,,
30138,934,,,,,,,,0,0,,,
30137,840,0,,,,,,,0,0,,,
30136,800,1,,,,,3,,0,0,,,
30135,799,2,,,,,3,,0,0,,,
30134,792,0,,,,,3,,0,0,,,
30133,778,1,,,,,,,0,0,,,
30132,563,,,,,,,,0,0,,,
30131,760,,,,,,,,0,0,,,
30130,759,,,,,,,,0,0,,,
30129,751,,,,,,,,0,0,,,
30128,743,,,,,,,,0,0,,,
30127,742,,,,,,,,0,0,,,
30126,741,,,,,,,,0,0,,,
30125,733,,,,,,,,0,0,,,
30124,724,,,,,,,,0,0,,,
30123,723,,,,,,,,0,0,,,
30122,722,,,,,,,,0,0,,,
30121,721,,,,,,,,0,0,,,
30120,719,,,,,,,,0,0,,,
30119,718,,,,,,3,,0,0,,,
30118,717,,,,,,3,,0,0,,,
30117,716,,,,,,,,0,0,,,
30116,715,,,,,,,,0,0,,,
30115,714,,,,,,,,0,0,,,
30114,713,,,,,,,,0,0,,,
30113,711,,,,,,,,0,0,,,
30112,710,,,,,,,,0,0,,,
30111,709,,,,,,,,0,0,,,
30110,706,,,,,,,,0,0,,,
30109,684,,,,,,,,0,0,,,
30108,681,,,,,,,,0,0,,,
30107,680,,,,,,,,0,0,,,
30106,679,,,,,,,,0,0,,,
30105,673,,,,,,,,0,0,,,
30104,669,,,,,,,,0,0,,,
30103,668,,,,,,,,0,0,,,
30102,538,0,,skull4point,,,,skull4,0,0,,,
30101,608,,,,,,,,0,0,,,
30100,591,,,,0,,,,0,0,,,
30099,598,,,janus1point,,,,janus1,0,0,,,
30098,595,,,,,,,,0,0,,,
30097,593,,,,,,,,0,0,,,
30096,592,,,,,,,,0,0,,,
30095,587,,,,,,3,,0,0,,,
30094,585,,,,,,,,0,0,,,
30093,579,,,,,,,,0,0,,,
30092,577,,,,,,,,0,0,,,
30091,517,,,balrog1point,,,,balrog1,0,0,,,
30090,504,,,balrog9point,,,,balrog9,0,0,,,
30089,575,,,,,,,,0,0,,,
30088,556,,,,,,,,0,0,,,
30087,562,,,skull8point,,,,skull8,0,0,,,
30086,561,,,,,,,,0,0,,,
30085,558,,,,,,,,0,0,,,
30084,554,,,,,,,,0,0,,,
30083,542,,,,,,,,0,0,,,
30082,538,,,,,,,,0,0,,,
30081,524,,,,,,,,0,0,,,
30080,532,,,balrog3point,,,,balrog3,0,0,,,
30079,527,,,,,,,,0,0,,,
30078,517,,,,,,,,0,0,,,
30077,510,,,,,,,,0,0,,,
30076,509,,,,,,,,0,0,,,
30075,466,,,balrog7point,,,,balrog7,0,0,,,
30074,482,,,balrog5point,,,,balrog5,0,0,,,
30073,503,,,,,,,,0,0,,,
30072,504,,,,,,,,0,0,,,
30071,493,,,,,,,,0,0,,,
30070,414,,,,,,,,0,0,,,
30069,482,,,,,,,,0,0,,,
30068,472,,,,,,,,0,0,,,
30067,469,,,,,,,,0,0,,,
30066,468,,,,,,,,0,0,,,
30065,467,,,,,,,,0,0,,,
30064,466,,,,,,,,0,0,,,
30063,463,,,,,,,,0,0,,,
30062,442,,,,,,,,0,0,,,
30061,312,,,,,,,,0,0,,,
30060,311,,,,,,,,0,0,,,
30059,237,,,,,,,,0,0,,,
30058,437,,,,,,,,0,0,,,
30057,436,,,,,,,,0,0,,,
30056,433,,,,,,,,0,0,,,
30055,432,,,,,,,,0,0,,,
30054,431,,,,,,,,0,0,,,
30053,426,,,,,,,,0,0,,,
30052,425,,,,,,,,0,0,,,
30051,427,,,,,,,,0,0,,,
30050,407,0,,Skull1Point,,,,Skull1,0,0,,,
30049,367,0,,Skull5Point,,,,Skull5,0,0,,,
30048,327,0,,Skull7Point,,,,M249EX,0,0,,,
30047,363,0,,Skull9Point,,,,SkullAxe,0,0,,,
30046,424,0,,,,,,,0,0,,,
30045,422,,,,,,,,0,0,,,
30044,417,0,,,,,,,0,0,,,
30043,407,0,,,,,,Skull1Sale,0,0,,,
30042,400,,,,,,,,0,0,,,
30041,389,,,,,,,,0,0,,,
30040,385,,,,,,,,0,0,,,
30039,382,,,,,,,,0,0,,,
30038,384,,,,,,,,0,0,,,
30037,377,,,,,,,,0,0,,,
30036,376,,,,,,,,0,0,,,
30035,370,,,,,,,,0,0,,,
30034,372,,,,,,,,0,0,,,
30033,367,0,,,,,,,0,0,,,
30032,363,0,,,,,,,0,0,,,
30031,355,,,,,,,,0,0,,,
30030,322,,,,,,,,0,0,,,
30029,345,,,,,,,,0,0,,,
30028,344,,,,,,,,0,0,,,
30027,337,,,,,,,,0,0,,,
30026,329,0,,JPNGirl01PlusSpray,0,,,JPNGirl01,0,0,,,
30025,328,0,,CHNGirl01PlusSpray,0,,,CHNGirl01,0,0,,,
30024,327,0,,,,,,m249exOFF,0,0,,,
30023,307,,,,,,,,0,0,,,
30022,304,,,,,,,,0,0,,,
30021,271,,,,,,,,0,0,,,
30020,261,,,,,,,,0,0,,,
30019,248,,,,,,,,0,0,,,
30018,242,0,,InfinityPoint,0,,,Infinity,0,0,,,
30017,213,0,,M134Point,0,,,M134Point,0,0,,,
30016,197,0,,M1887Point,0,,,M1887,0,0,,,
30015,187,0,,SL8Point,0,,,SL8,0,0,,,
30014,153,,,,,,,,0,0,,,
30013,151,,,,,,,,0,0,,,
30012,154,1,,SpeedZombieRitsuka,0,,,Ritsuka,0,0,,,
30011,152,2,,SpeedZombieChoiJiYoon,0,,,ChoiJiYoon,0,0,,,
30010,148,,,,,,,,0,0,,,
30009,148,,,,,,,,0,0,,,
30007,148,0,,MG3Point,0,,,MG3,0,0,,,
30006,57,2,,sdefence,0,,,,1,0,,,
30005,56,2,,magui,0,,,,1,0,,,
30004,55,2,,sozo,0,,,,1,0,,,
30003,48,1,,JRA,0,,,,1,0,,,
30002,47,1,,ETA,0,,,,1,0,,,
30001,46,1,,IRA,0,,,,1,0,,,
30000,,0,,ResetPcbangEvent,0,,,ResetPcbang,0,0,,,
20282,,,2000,modgearbox20Pclassdecoder5P,,,,modgearbox20Pclassdecoder5P,,,,,
20281,,,2000,y26danocosbackpackge,,,,y26danocosbackpackge,,,,,
20280,,,2000,26s2ctspraypackage,,,,26s2ctspraypackage,,,,,
20279,,,2000,26s1trspraypackage,,,,26s1trspraypackage,,,,,
20278,,,2000,divinespearexpackage30P,,,,divinespearexpackage30P,,,,,
20277,,,2000,divinespearexpackage10P,,,,divinespearexpackage10P,,,,,
20276,,,2000,modgearbox10Pstarterbox1P,,,,modgearbox10Pstarterbox1P,,,,,
20275,,,,liveseriesweaponcouponset,,,,weaponticket,,,,,
20274,,,,livedecodercouponset,,,,weaponticket,,,,,
20273,,,,liveWeaponReinforcecouponset,,,,weaponticket,,,,,
20272,,,,livepasscouponset,,,,weaponticket,,,,,
20271,,,,MtncCompspcouponset,,,,weaponticket,,,,,
20270,,,,MtncComppasscouponset,,,,weaponticket,,,,,
20269,,,2000,25s4trspraypackage,,,,25s4trspraypackage,,,,,
20268,,,2000,25s4ctspraypackage,,,,25s4ctspraypackage,,,,,
20267,,,2000,blackfridaydecoder30Pset,,,,blackfridaydecoder30Pset,,,,,
20266,,,2000,blackfridaydecoder10Pset,,,,blackfridaydecoder10Pset,,,,,
20265,,,2000,blackfridaydecoder2Psale,,,,blackfridaydecoder2Psale,,,,,
20264,,,2000,EPIC20Plunarhaloset,,,,EPIC20Plunarhaloset,,,,,
20263,,,2000,EPIC30Psoulreaperset,,,,EPIC30Psoulreaperset,,,,,
20262,,,2000,EPIC10Psoulreaperset,,,,EPIC10Psoulreaperset,,,,,
20261,,,,directorcouponset,,,,weaponticket,,,,,
20260,,,,herocavecouponset,,,,weaponticket,,,,,
20259,,,2000,25s3ctspraypackage,,,,25s3ctspraypackage,,,,,
20258,,,2000,25s3trspraypackage,,,,25s3trspraypackage,,,,,
20257,,,2000,allinonedecoder_2Psale,,,,allinonedecoder_2Psale,,,,,
20256,,,,match25krchncouponset,,,,weaponticket,,,,,
20255,,,2000,25s2ctspraypackage,,,,25s2ctspraypackage,,,,,
20254,,,2000,25s2trspraypackage,,,,25s2trspraypackage,,,,,
20253,,,2000,topdecoderEPIC_1day,,,,topdecoderEPIC_1day,,,,,
20252,,,2000,25s1ctspraypackage,,,,25s1ctspraypackage,,,,,
20251,,,2000,25s1trspraypackage,,,,25s1trspraypackage,,,,,
20250,,,,matchcup25s1couponset,,,,weaponticket,,,,,
20249,,,,WeaponReExp50P5exp100P5exp20P5anti-1P5partsbox5P5couponset,,,,weaponticket,,,,,
20248,,,2000,24s4trspraypackage,,,,24s4trspraypackage,,,,,
20247,,,2000,24s4ctspraypackage,,,,24s4ctspraypackage,,,,,
20246,,,,eventdecoderP5EnhAnti1gradeP5WeaponReinforceExp100P5couponset,,,,weaponticket,,,,,
20245,,,2000,topdecoderEPIC_5Psale,,,,topdecoderEPIC_5Psale,,,,,
20244,,,2000,classy24s3apackage,,,,classy24s3apackage,,,,,
20243,,,2000,classy24s3bpackage,,,,classy24s3bpackage,,,,,
20242,,,2000,classy24s2apackage_A,,,,classy24s2apackage_A,,,,,
20241,,,2000,classy24s2bpackage_B,,,,classy24s2bpackage_B,,,,,
20240,,,2000,classy24s1bpackage,,,,classy24s1bpackage,,,,,
20239,,,2000,classy24s1apackage,,,,classy24s1apackage,,,,,
20238,,,2000,epic5epicattendpiece_boxset,,,,epicattendpiece_package,,,,,
20237,,,,g5decoderP3classdecoderP3couponset,,,,weaponticket,,,,,
20236,,,,WeaponReinforceReinforceExp50P10EnhAnti1gradeP10couponset,,,,weaponticket,,,,,
20235,,,,g5decoderP1g5decoder2couponset,,,,weaponticket,,,,,
20234,,,,g4decoder3g3decoder20couponset,,,,weaponticket,,,,,
20233,,,,g4decoderP1g4decoder5couponset,,,,weaponticket,,,,,
20232,,,,classdecoderP1classdecoder3couponset,,,,weaponticket,,,,,
20231,,,,WeaponReinforceExp2005WeaponReinforceExp10010couponset,,,,weaponticket,,,,,
20230,,,,transpassd3zombienewbieweapon1eventdecoder3couponset,,,,weaponticket,,,,,
20229,,,,g5decoder5classdecoder3couponset,,,,weaponticket,,,,,
